date,sitename,county,aqi,status
16-08-2024 08:00,Annan,Tainan City,25,Good
16-08-2024 07:00,Annan,Tainan City,26,Good
16-08-2024 06:00,Annan,Tainan City,29,Good
16-08-2024 05:00,Annan,Tainan City,30,Good
16-08-2024 04:00,Annan,Tainan City,30,Good
16-08-2024 03:00,Annan,Tainan City,31,Good
16-08-2024 02:00,Annan,Tainan City,37,Good
16-08-2024 01:00,Annan,Tainan City,38,Good
16-08-2024 00:00,Annan,Tainan City,40,Good
15-08-2024 23:00,Annan,Tainan City,41,Good
15-08-2024 22:00,Annan,Tainan City,36,Good
15-08-2024 21:00,Annan,Tainan City,35,Good
15-08-2024 20:00,Annan,Tainan City,38,Good
15-08-2024 19:00,Annan,Tainan City,38,Good
15-08-2024 18:00,Annan,Tainan City,36,Good
15-08-2024 17:00,Annan,Tainan City,35,Good
15-08-2024 16:00,Annan,Tainan City,37,Good
15-08-2024 15:00,Annan,Tainan City,29,Good
15-08-2024 14:00,Annan,Tainan City,31,Good
15-08-2024 13:00,Annan,Tainan City,29,Good
15-08-2024 12:00,Annan,Tainan City,27,Good
15-08-2024 11:00,Annan,Tainan City,28,Good
15-08-2024 10:00,Annan,Tainan City,29,Good
15-08-2024 09:00,Annan,Tainan City,31,Good
15-08-2024 08:00,Annan,Tainan City,34,Good
15-08-2024 07:00,Annan,Tainan City,35,Good
15-08-2024 06:00,Annan,Tainan City,35,Good
15-08-2024 05:00,Annan,Tainan City,34,Good
15-08-2024 04:00,Annan,Tainan City,30,Good
15-08-2024 03:00,Annan,Tainan City,29,Good
15-08-2024 02:00,Annan,Tainan City,29,Good
15-08-2024 01:00,Annan,Tainan City,28,Good
15-08-2024 00:00,Annan,Tainan City,30,Good
14-08-2024 23:00,Annan,Tainan City,32,Good
14-08-2024 22:00,Annan,Tainan City,35,Good
14-08-2024 21:00,Annan,Tainan City,35,Good
14-08-2024 20:00,Annan,Tainan City,34,Good
14-08-2024 19:00,Annan,Tainan City,34,Good
14-08-2024 18:00,Annan,Tainan City,34,Good
14-08-2024 17:00,Annan,Tainan City,34,Good
14-08-2024 16:00,Annan,Tainan City,32,Good
14-08-2024 15:00,Annan,Tainan City,32,Good
14-08-2024 14:00,Annan,Tainan City,35,Good
14-08-2024 13:00,Annan,Tainan City,39,Good
14-08-2024 12:00,Annan,Tainan City,39,Good
14-08-2024 11:00,Annan,Tainan City,44,Good
14-08-2024 10:00,Annan,Tainan City,44,Good
14-08-2024 09:00,Annan,Tainan City,44,Good
